Country Code,Country,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2014
AFG,Afghanistan,6992,6301,5576,5004,5157,5762,4753,3623,3040,2525,2198,2008
ALB,Albania,17376,15108,13398,11994,10832,9676,9318,9767,9670,10030,10482,10425
DZA,Algeria,998.3,873.9,758.9,659.7,567.2,487.9,429.3,390.5,364.8,340.6,311.7,294.2
AND,Andorra,20520,15210,11737,9631,8070,6513,5358,4920,4442,3718,3979,4479
AGO,Angola,27150,24887,22526,19784,16848,14427,12524,10752,9212,7736,6541,5931
ATG,Antigua and Barbuda,923.5,838.7,773.8,740.5,754.2,819.2,819.8,719.9,649.8,616.1,583.8,566.3
ARG,Argentina,41159,38209,35355,32598,30220,27970,26035,24452,23125,21921,20815,20181
ARM,Armenia,N/A,N/A,N/A,N/A,N/A,N/A,2252,2476,2550,2600,2609,2574
AUS,Australia,46020,41082,36815,34619,32581,30156,28053,26576,25213,23455,21474,20527
AUT,Austria,10866,10513,10259,10189,10239,10192,9945,9694,9575,9360,9190,9093
AZE,Azerbaijan,N/A,N/A,N/A,N/A,N/A,N/A,4654,4378,4188,3958,3705,3555
BHS,Bahamas,5780,4587,3937,3551,3177,2876,2631,2439,2264,2045,1880,1804
BHR,Bahrain,670.1,591.2,505.2,382.6,300.5,258.4,221.9,194,159.9,113,86.96,84.24
BGD,Bangladesh,24044,20579,18157,16393,14289,12501,11055,9929,9007,8370,7903,7621
BRB,Barbados,343.9,338.1,331.4,321.5,315.2,310.6,305.1,299.7,294.7,289.6,284.1,281.5
BLR,Belarus,N/A,N/A,N/A,N/A,N/A,N/A,5657,5738,5893,6059,6101,6097
BEL,Belgium,1991,1931,1896,1877,1863,1854,1827,1795,1766,1709,1652,1620
BLZ,Belize,223124,192813,170833,158613,143432,124670,111837,98060,82876,72822,64538,60479
BEN,Benin,10543,9656,8684,7689,6713,5805,4907,4149,3559,3031,2626,2426
BTN,Bhutan,404772,356741,303806,253469,218692,189621,179890,155500,135361,114453,104881,100671
BOL,Bolivia (Plurinational State of),149557,135473,122180,109668,98372,88786,80482,72926,66335,60799,56060,53520
BIH,Bosnia and Herzegovina,N/A,N/A,N/A,N/A,N/A,N/A,8719,9923,9848,9766,9796,9843
BWA,Botswana,22255,19389,16545,13787,11439,9707,8384,7436,6849,6342,5738,5411
BRA,Brazil,112287,97317,85746,76000,67526,60708,55651,51503,47761,44853,42722,41603
BRN,Brunei Darussalam,94866,75421,59944,48907,41443,36017,31250,27437,24752,22697,20962,20085
BGR,Bulgaria,2661,2557,2478,2423,2389,2381,2461,2598,2707,2814,2916,2979
BFA,Burkina Faso,2722,2527,2318,2110,1886,1658,1452,1266,1098,946.4,813.7,745.6
BDI,Burundi,4332,3876,3535,3278,2877,2454,2127,1953,1751,1473,1239,1122
CPV,Cabo Verde,1422,1206,1096,1089,1013,925.9,836.8,732.1,658.8,623.3,598.9,576.4
KHM,Cambodia,78995,71113,64943,65924,68553,57863,49291,41988,37541,34678,32100,30562
CMR,Cameroon,50608,45072,39683,34575,29860,25662,22122,19245,16872,14839,13071,12127
CAN,Canada,155520,142332,131063,122323,115996,109336,102349,97151,92748,87987,83228,80746
CAF,Central African Republic,90559,82024,74171,66888,58458,51254,45646,40309,36528,33555,30519,28776
TCD,Chad,14638,13300,11976,10740,9690,8449,7197,6098,5077,4239,3594,3256
CHL,Chile,114614,102624,93083,85902,79791,73807,68040,63252,59382,56071,53088,51432
CHN,China,4175,3728,3267,2964,2759,2540,2337,2226,2161,2104,2049,2018
COL,Colombia,134857,116193,101957,91102,81304,73011,66369,61069,56769,53183,50340,48933
COM,Comoros,6154,5607,5046,4356,3654,3161,2726,2369,2086,1848,1636,1522
COG,Congo,779026,679739,586328,503937,435374,377838,330815,289492,255450,223897,194120,180087
CRI,Costa Rica,78856,66667,58038,51178,44823,39345,34695,30682,27812,25864,24280,23502
HRV,Croatia,N/A,N/A,N/A,N/A,N/A,N/A,22290,23279,23994,24214,24609,24882
CUB,Cuba,5117,4613,4224,3956,3840,3712,3551,3465,3408,3378,3361,3347
CYP,Cyprus,1350,1319,1242,1172,1128,1078,974.1,875.7,796,733.8,690.9,669.5
CZE,Czech Republic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1275,1286,1273,1247,1247
CIV,C&ocirc;te d'Ivoire,22497,18327,14638,11626,9347,7691,6449,5501,4896,4461,3987,3706
PRK,Democratic People's Republic of Korea,6498,5835,5071,4603,4310,3990,3702,3469,3319,3200,3116,3067
